#616,"Off-Market on 07/20/2015 at $4,400",4 beds,2 baths,
#617,"Off-Market on 08/20/2010 at $3,000",2 beds,1 bath,
#618,"Off-Market on 08/25/2012 at $2,300",2 beds,1 bath,
#620,"Off-Market on 10/12/2016 at $3,000",1 bed,1 bath,550 ftsq
#622,"Off-Market on 10/06/2017 at $2,910",2 beds,1 bath,
#624,"Off-Market on 04/15/2014 at $2,500",1 bed,1 bath,
#625,"Off-Market on 05/14/2018 at $2,700",2 beds,1 bath,
#626A,"Off-Market on 09/20/2016 at $3,050",2 beds,1 bath,
#701,"Off-Market on 09/15/2014 at $2,595",2 beds,1 bath,
#702,"Off-Market on 02/07/2014 at $2,400",2 beds,1 bath,
#703,"Off-Market on 04/05/2018 at $3,000",3 beds,1 bath,"1,700 ftsq"
#704,"Off-Market on 01/27/2018 at $2,600",2 beds,1 bath,530 ftsq
#705,"Off-Market on 02/22/2018 at $5,500",5 beds,2 baths,
#706,"Off-Market on 09/07/2017 at $4,700",4 beds,2 baths,
#709,"Off-Market on 07/10/2015 at $2,200",2 beds,1 bath,
#710,"Off-Market on 06/28/2017 at $2,400",2 beds,1 bath,
#711,"Off-Market on 07/09/2015 at $2,500",studio,1 bath,
#711A,"Off-Market on 08/10/2015 at $2,195",studio,1 bath,
#712,"Off-Market on 06/18/2014 at $2,400",2 beds,1 bath,
#712A,"Off-Market on 02/28/2014 at $2,350",2 beds,1 bath,
#715,"Off-Market on 03/07/2018 at $2,300",studio,1 bath,500 ftsq
#717A,"Off-Market on 09/11/2015 at $3,050",1 bed,1 bath,
#721A,"Off-Market on 08/13/2015 at $2,849",1 bed,1 bath,
#722,"Off-Market on 11/09/2015 at $3,395",2 beds,1 bath,
#726,"Off-Market on 03/22/2014 at $2,600",2 beds,1 bath,
#802,"Off-Market on 06/07/2014 at $2,100",studio,1 bath,
#906,"Off-Market on 11/30/2015 at $3,495",2 beds,1 bath,
#1522,"Off-Market on 08/25/2012 at $2,200",studio,1 bath,
#3266,Off-Market,,,
#33-21,"Off-Market on 04/10/2014 at $2,300",1 bed,1 bath,
#33-26,"Off-Market on 04/16/2014 at $1,900",studio,1 bath,
#4181,"Off-Market on 07/25/2013 at $2,455",2 beds,1 bath,
#4184,"Off-Market on 06/07/2013 at $2,025",1 bed,1 bath,
#5256,"Off-Market on 06/07/2013 at $2,725",2 beds,1 bath,
#33-326,"Off-Market on 04/10/2014 at $2,000",studio,1 bath,
#76757,Off-Market,,,"1,400 ftsq"
#TH1,"Off-Market on 02/06/2015 at $2,400",2 beds,1 bath,
#TH3,"Off-Market on 07/18/2017 at $2,200",2 beds,1 bath,
