NA_9247,Off-Market,,,
#1001,"Off-Market on 02/11/2017 at $3,270",2 beds,1 bath,551 ftsq
NA_12897,Off-Market,,,
#1003,"Off-Market on 09/07/2011 at $2,600",studio,1 bath,
#1004,"Off-Market on 05/23/2018 at $3,840",2 beds,1 bath,818 ftsq
#1005,"Listed for rent at $4,153",studio,1 bath,889 ftsq
#1006,"Off-Market on 12/11/2018 at $3,900",1 bed,1 bath,674 ftsq
#1006A,"Off-Market on 01/09/2013 at $3,555",1 bed,1 bath,674 ftsq
#1007,"Off-Market on 09/20/2018 at $5,902",2 beds,2 baths,"1,079 ftsq"
#1008,"Off-Market on 06/08/2018 at $3,205",studio,1 bath,591 ftsq
#1009,"Listed for rent at $3,458",1 bed,1 bath,618 ftsq
NA_99245,Off-Market,,,
#1010,"Off-Market on 04/07/2017 at $3,318",studio,1 bath,576 ftsq
#1011,"Off-Market on 12/14/2015 at $5,304",2 beds,2 baths,"1,080 ftsq"
#1012,"Off-Market on 03/12/2018 at $3,790",1 bed,1 bath,678 ftsq
NA_124176,Off-Market,,,
#1013,"Off-Market on 07/24/2017 at $3,975",studio,1 bath,675 ftsq
#1014,"Off-Market on 12/10/2013 at $5,065",studio,1 bath,694 ftsq
NA_147339,Off-Market,,,
NA_154045,Off-Market,,,
#1016,"Off-Market on 06/18/2015 at $2,951",studio,1 bath,487 ftsq
#1017,"Off-Market on 11/30/2010 at $2,300",studio,1 bath,
NA_173793,Off-Market,,,
#1018,"Off-Market on 07/18/2016 at $2,655",studio,1 bath,464 ftsq
#1019,"Off-Market on 01/11/2018 at $2,884",studio,1 bath,472 ftsq
#1021,"Off-Market on 05/14/2016 at $2,988",studio,1 bath,557 ftsq
#1022,"Off-Market on 07/26/2018 at $4,995",1 bed,1 bath,947 ftsq
#1024,"Off-Market on 04/07/2017 at $3,639",studio,1 bath,825 ftsq
#1025,"Off-Market on 01/30/2017 at $3,079",studio,1 bath,623 ftsq
#1101,"Off-Market on 07/14/2018 at $3,248",studio,1 bath,551 ftsq
#1102,"Off-Market on 06/17/2014 at $2,683",studio,1 bath,453 ftsq
#1103,"Off-Market on 08/04/2017 at $2,962",studio,1 bath,495 ftsq
#1104,"Off-Market on 05/31/2018 at $3,761",studio,1 bath,818 ftsq
#1105,Off-Market,,,
#1106,"Off-Market on 02/15/2016 at $3,941",1 bed,1 bath,674 ftsq
#1107,"Off-Market on 08/21/2018 at $5,871",2 beds,2 baths,"1,079 ftsq"
#1108,"Off-Market on 08/08/2017 at $3,519",studio,1 bath,591 ftsq
#1109,"Off-Market on 08/14/2018 at $3,282",studio,1 bath,618 ftsq
#1110,"Off-Market on 11/07/2017 at $3,490",studio,1 bath,576 ftsq
#1112,"Off-Market on 06/27/2018 at $3,955",1 bed,1 bath,678 ftsq
#1113,"Off-Market on 06/16/2018 at $3,565",studio,1 bath,675 ftsq
#1116,"Off-Market on 05/18/2018 at $2,885",studio,1 bath,487 ftsq
#1117,"Off-Market on 10/07/2014 at $2,890",studio,1 bath,475 ftsq
#1118,"Off-Market on 01/11/2018 at $2,899",studio,1 bath,464 ftsq
#1119,"Off-Market on 10/01/2018 at $3,025",studio,1 bath,472 ftsq
#1121,"Off-Market on 01/10/2015 at $3,110",studio,1 bath,557 ftsq
#1122,"Off-Market on 12/07/2018 at $5,404",1 bed,1 bath,947 ftsq
#1123,"Off-Market on 06/20/2016 at $3,720",1 bed,1 bath,818 ftsq
#1124,"Off-Market on 06/05/2018 at $3,410",studio,1 bath,825 ftsq
#1125,"Off-Market on 06/27/2018 at $3,345",1 bed,1 bath,623 ftsq
#1201,"Off-Market on 07/03/2018 at $3,373",1 bed,1 bath,551 ftsq
#1202,"Off-Market on 05/30/2017 at $2,757",studio,1 bath,453 ftsq
#1203,"Off-Market on 05/17/2018 at $2,967",studio,1 bath,495 ftsq
#1205,"Off-Market on 01/17/2018 at $3,883",1 bed,1 bath,889 ftsq
#1206,Off-Market,,,
#1207,"Off-Market on 11/10/2017 at $5,774",2 beds,2 baths,"1,079 ftsq"
#1208,Off-Market,,,
#1210,"Off-Market on 03/31/2017 at $3,300",studio,1 bath,576 ftsq
#1211,"Off-Market on 09/06/2016 at $5,674",2 beds,2 baths,"1,080 ftsq"
#1212,"Off-Market on 10/20/2016 at $3,885",2 beds,1 bath,
#1213,"Off-Market on 01/07/2015 at $3,267",studio,1 bath,675 ftsq
#1214,Off-Market,,,
#1218,"Off-Market on 08/25/2018 at $2,951",studio,1 bath,464 ftsq
#1219,"Off-Market on 06/16/2018 at $2,855",studio,1 bath,472 ftsq
#1220,"Off-Market on 01/23/2018 at $2,890",studio,1 bath,473 ftsq
#1221,"Off-Market on 05/10/2013 at $3,881",studio,1 bath,557 ftsq
#1222,"Off-Market on 05/11/2013 at $6,185",1 bed,1 bath,947 ftsq
#1223,"Off-Market on 12/10/2014 at $3,740",1 bed,1 bath,818 ftsq
#1224,"Off-Market on 04/26/2018 at $3,415",studio,1 bath,825 ftsq
#1225,"Off-Market on 06/01/2016 at $3,341",studio,1 bath,623 ftsq
#1401,"Off-Market on 08/08/2014 at $2,919",studio,1 bath,551 ftsq
#1402,"Off-Market on 06/27/2018 at $2,870",studio,1 bath,453 ftsq
#1403,"Off-Market on 09/06/2016 at $2,870",studio,1 bath,495 ftsq
#1404,"Off-Market on 09/10/2018 at $3,941",studio,1 bath,818 ftsq
