#0,"Off-Market on  at $2,600",1 bed,1 bath,700 ftsq
#1,Off-Market,,,
#1BR,"Off-Market on 11/10/2009 at $599,000",1 bed,1 bath,
#1512,"Off-Market on 11/11/2015 at $3,500",1 bed,1 bath,
1512-MA,"Off-Market on 06/03/2013 at $3,500",1 bed,1 bath,
#1513,"Sold on 09/12/2007 for $666,953",,,
#1514,"Off-Market on 09/26/2017 at $2,995",1 bed,1 bath,620 ftsq
#1601,"Off-Market on 06/22/2016 at $735,000",1 bed,1 bath,656 ftsq
#1602,"Off-Market on 09/22/2016 at $2,795",studio,1 bath,
#1603,"Off-Market on 04/21/2017 at $4,000",1 bed,1 bath,
#1604,"Sold on 08/04/2008 for $875,695",,,
#1605,"Off-Market on 08/27/2012 at $3,295",1 bed,1 bath,
#1607,"Off-Market on 06/13/2016 at $2,850",studio,1 bath,
#1608,"Off-Market on 09/03/2018 at $3,650",1 bed,1 bath,719 ftsq
#1609,"Sold on 12/15/2017 for $1,135,000",1 bed,1 bath,723 ftsq
#1610,"Sold on 02/16/2017 for $1,350,000",1 bed,1 bath,881 ftsq
#1611,"Sold on 06/30/2017 for $960,000",1 bed,1 bath,640 ftsq
#1612,"Off-Market on 05/12/2014 at $2,350",studio,1 bath,550 ftsq
#1613,"Off-Market on 08/18/2017 at $3,000",studio,1 bath,650 ftsq
#1700,"Off-Market on 02/18/2014 at $3,500",1 bed,1 bath,"1,099 ftsq"
#1701,"Off-Market on 12/17/2018 at $3,250",1 bed,1 bath,744 ftsq
#1702,"Off-Market on 02/09/2018 at $3,100",studio,1 bath,525 ftsq
#1703,Sold on 01/06/2017 for $0,1 bed,1 bath,719 ftsq
#1704,"Off-Market on 06/29/2018 at $3,900",1 bed,1 bath,782 ftsq
#1705,"Off-Market on 05/23/2018 at $3,100",1 bed,1 bath,660 ftsq
#1706,"Off-Market on 01/11/2018 at $4,600",1 bed,1 bath,714 ftsq
#1707,"Off-Market on 05/25/2018 at $2,999",studio,1 bath,594 ftsq
#1708,"Off-Market on 05/21/2016 at $1,550,000",1 bed,1 bath,"1,011 ftsq"
#1710,"Listed for sale at $899,000",1 bed,1 bath,797 ftsq
#1711,"Sold on 02/09/2018 for $900,000",2 beds,1 bath,900 ftsq
