#1FU,Off-Market,,,
#14H,"Off-Market on 10/09/2018 at $3,650,000",2 beds,3 baths,"1,779 ftsq"
#14J,"Sold on 11/21/2016 for $2,495,221",2 beds,2.5 baths,"1,366 ftsq"
#14K,"Off-Market on 06/07/2018 at $10,500",2 beds,2.5 baths,"1,501 ftsq"
#14L,"Sold on 12/06/2016 for $3,818,437",2 beds,2.5 baths,"1,613 ftsq"
#14M,"Off-Market on 10/14/2018 at $10,500",2 beds,2.5 baths,"1,273 ftsq"
#14N,"Sold on 05/01/2017 for $3,550,000",3 beds,3 baths,
#14P,"Sold on 06/29/2017 for $7,400,000",4 beds,5 baths,"3,208 ftsq"
#14R,"Sold on 06/02/2017 for $4,368,475",3 beds,3 baths,"2,212 ftsq"
#14S,"Sold on 11/23/2016 for $2,672,906",1 bed,2 baths,"1,828 ftsq"
#15A,Off-Market,,,
#15B,"Listed for sale at $5,275,000",3 beds,3.5 baths,"2,446 ftsq"
#15C,"Sold on 09/26/2018 for $3,910,000",3 beds,3 baths,"1,983 ftsq"
#15D,"Sold on 11/15/2016 for $6,335,551",4 beds,5 baths,"3,111 ftsq"
#15G,"Off-Market on 02/09/2018 at $14,000",3 beds,3.5 baths,
#15H,"Sold on 10/30/2017 for $3,150,000",2 beds,3 baths,"1,779 ftsq"
#15J,"Listed for sale at $2,995,000",2 beds,2.5 baths,"1,410 ftsq"
#15K,"Listed for sale at $2,974,000",2 beds,2.5 baths,"1,510 ftsq"
#15L,"Off-Market on 08/29/2018 at $4,000,000",2 beds,2.5 baths,"1,613 ftsq"
#15M,"Sold on 10/05/2016 for $2,418,343",2 beds,2.5 baths,
#15N,"Off-Market on 06/12/2017 at $16,750",3 beds,3 baths,"1,995 ftsq"
#15P,"Sold on 06/01/2017 for $6,750,000",4 beds,5.5 baths,
#15R,"Sold on 11/02/2016 for $4,582,125",3 beds,3 baths,"2,212 ftsq"
#15S,"Sold on 10/31/2016 for $3,309,312",1 bed,2 baths,"1,828 ftsq"
#16A,"Listed for sale at $5,400,000",4 beds,4.5 baths,"2,502 ftsq"
#16B,Off-Market,,,
#16C,"Off-Market on 05/01/2017 at $4,195,000",3 beds,3 baths,
#16D,"Off-Market on 04/16/2018 at $6,200,000",4 beds,5 baths,"2,945 ftsq"
#16G,"Listed for sale at $4,250,000",3 beds,3 baths,"2,225 ftsq"
#16H,"Sold on 11/02/2016 for $2,902,012",2 beds,3 baths,"1,779 ftsq"
#16J,"Sold on 12/22/2016 for $2,036,500",1 bed,2 baths,"1,185 ftsq"
#16K,"Sold on 11/18/2016 for $3,054,750",2 beds,2.5 baths,"1,501 ftsq"
#16L,"Listed for sale at $4,485,000",3 beds,3 baths,"2,064 ftsq"
#16M,"Off-Market on 01/11/2017 at $3,850",studio,1 bath,489 ftsq
#16N,"Sold on 10/30/2017 for $3,900,000",3 beds,3 baths,"1,984 ftsq"
#16P,"Sold on 12/19/2017 for $6,400,000",4 beds,5 baths,
#16R,"Off-Market on 10/03/2017 at $15,500",2.5 beds,3 baths,"2,112 ftsq"
#16S,Sold on 05/16/2017 for $0,1 bed,2 baths,"1,828 ftsq"
#17A,"Off-Market on 05/07/2018 at $5,450,000",4 beds,4.5 baths,"2,502 ftsq"
#17B,Off-Market,,,
#17C,"Off-Market on 05/27/2017 at $16,750",3 beds,3 baths,
#17D,Off-Market,,,
#17G,"Sold on 09/08/2017 for $3,850,000",,,
#17H,"Off-Market on 06/16/2018 at $3,600,000",2.5 beds,3 baths,"1,779 ftsq"
#17J,"Sold on 09/15/2016 for $1,960,131",1 bed,2 baths,
#17K,"Sold on 09/06/2016 for $3,300,000",2 beds,2.5 baths,"1,726 ftsq"
#17L,"Listed for rent at $15,500",3 beds,3 baths,"2,064 ftsq"
#17M,"Off-Market on 05/10/2018 at $3,495",studio,1 bath,489 ftsq
#17N,"Sold on 11/28/2017 for $3,600,000",3 beds,3 baths,
#17P,"Sold on 12/07/2017 for $6,180,250",4 beds,5 baths,
#17R,"Off-Market on 09/20/2018 at $14,950",3 beds,3 baths,"2,112 ftsq"
#17S,"Sold on 12/02/2016 for $3,175,987",1 bed,2 baths,
#19A,"Sold on 03/17/2017 for $8,807,862",4 beds,4.5 baths,"3,967 ftsq"
#19B,"Sold on 10/19/2017 for $8,655,125",4 beds,4.5 baths,
#19C,"Off-Market on 04/11/2018 at $8,500,000",4 beds,4.5 baths,"3,220 ftsq"
#19D,"Sold on 03/23/2018 for $7,425,000",4 beds,4.5 baths,
#20A,"Sold on 08/13/2018 for $8,134,238",4 beds,4.5 baths,"3,967 ftsq"
#20B,"Off-Market on 01/31/2018 at $8,625,000",4 beds,4.5 baths,"3,656 ftsq"
#20C,"Off-Market on 05/10/2018 at $7,600,000",4 beds,4.5 baths,"3,216 ftsq"
#20D,"Off-Market on 02/19/2018 at $7,500,000",4 beds,4.5 baths,
#21A,"Off-Market on 03/15/2017 at $8,500,000",3 beds,4 baths,"2,980 ftsq"
#21B,"Off-Market on 09/20/2018 at $7,895,000",3 beds,4 baths,"2,869 ftsq"
#21C,Off-Market,,,
#21D,"Off-Market on 03/15/2017 at $6,500,000",3 beds,3.5 baths,"2,337 ftsq"
#22A,"Off-Market on 05/09/2018 at $6,400,000",3 beds,4 baths,"2,975 ftsq"
#22B,"Off-Market on 07/17/2015 at $7,350,000",3 beds,4 baths,"2,870 ftsq"
#22C,"Listed for sale at $5,950,000",3 beds,4 baths,"2,712 ftsq"
#22D,"Off-Market on 03/15/2017 at $5,200,000",3 beds,3.5 baths,"2,338 ftsq"
#UA,"Sold on 12/23/2013 for $274,000,000",,,
#23A,"Off-Market on 04/04/2017 at $6,725,000",3 beds,4 baths,"2,987 ftsq"
#23B,"Listed for sale at $5,995,000",4 beds,4 baths,"2,870 ftsq"
#UA2,Off-Market,,,
#23C,"Off-Market on 05/03/2018 at $6,245,000",4 beds,4 baths,"2,712 ftsq"
#23D,"Sold on 06/15/2016 for $5,045,937",3 beds,3.5 baths,"2,338 ftsq"
#BU,Off-Market,,,
#24A,"Listed for sale at $6,550,000",4 beds,4 baths,"2,975 ftsq"
#24B,"Listed for sale at $6,450,000",4 beds,4 baths,"2,870 ftsq"
#24C,"Off-Market on 10/31/2017 at $6,315,000",4 beds,4 baths,"2,712 ftsq"
#24D,Sold on 12/15/2016 for $0,3 beds,3.5 baths,"2,338 ftsq"
#25A,Off-Market,,,
#25B,"Off-Market on 05/28/2015 at $7,650,000",3 beds,4 baths,"2,870 ftsq"
#25C,"Off-Market on 05/28/2015 at $6,775,000",3 beds,4 baths,"2,712 ftsq"
#25D,"Off-Market on 12/19/2018 at $5,295,000",3 beds,3.5 baths,"2,338 ftsq"
#26A,"Off-Market on 10/08/2018 at $6,700,000",4 beds,4 baths,"2,975 ftsq"
#26B,"Off-Market on 08/29/2018 at $6,650,000",3 beds,4 baths,"2,870 ftsq"
#26C,"Off-Market on 03/15/2017 at $6,875,000",3 beds,4 baths,"2,712 ftsq"
#26D,"Sold on 06/30/2016 for $5,177,000",3 beds,3.5 baths,"2,338 ftsq"
#27A,"Sold on 07/21/2017 for $6,700,000",3 beds,4 baths,
#27B,"Off-Market on 03/15/2017 at $7,850,000",4 beds,4 baths,"2,870 ftsq"
#27C,"Off-Market on 03/15/2017 at $6,975,000",4 beds,4 baths,"2,712 ftsq"
#27D,"Sold on 06/22/2016 for $5,300,000",3 beds,3.5 baths,"2,338 ftsq"
#28A,"Off-Market on 09/11/2015 at $8,925,000",3 beds,4 baths,"2,987 ftsq"
#28B,"Off-Market on 04/16/2016 at $7,950,000",3 beds,4 baths,"2,870 ftsq"
#28C,"Off-Market on 08/18/2017 at $20,000",4 beds,4 baths,"2,712 ftsq"
#28D,"Off-Market on 10/22/2017 at $17,000",3 beds,3.5 baths,"2,338 ftsq"
#29A,"Off-Market on 08/15/2017 at $21,000",3 beds,4 baths,"2,987 ftsq"
#29B,"Off-Market on 03/30/2017 at $22,500",3 beds,4 baths,"2,870 ftsq"
#29C,"Off-Market on 02/05/2017 at $21,000",4 beds,4 baths,
#29D,"Sold on 01/17/2017 for $5,376,360",3 beds,3.5 baths,
#30A,"Listed for sale at $7,200,000",3 beds,4 baths,"2,970 ftsq"
#30B,"Sold on 10/01/2018 for $6,951,348",3 beds,4 baths,"2,876 ftsq"
#30C,"Sold on 05/25/2016 for $7,165,875",3 beds,4 baths,"2,710 ftsq"
#30D,"Off-Market on 03/31/2017 at $5,550,000",3 beds,3.5 baths,
#31A,Sold on 07/27/2017 for $0,,,
#31B,Off-Market,,,
#RU,"Sold on 01/02/2015 for $40,000,000",,,
#RU2,"Sold on 09/23/2016 for $4,200,000",,,
#CVU,Off-Market,,,
#BSMT,Off-Market,,,
PENTHOUSE,"Off-Market on 12/14/2018 at $59,000,000",7 beds,8+ baths,"14,539 ftsq"
#PH,Off-Market,,,
#PHB,"Off-Market on 06/21/2017 at $13,200,000",5 beds,5.5 baths,"4,311 ftsq"
#PHC,"Off-Market on 09/05/2017 at $14,750,000",4 beds,4.5 baths,"4,254 ftsq"
