#-802,Off-Market,,,
#1426,"Off-Market on 06/02/2017 at $5,350",2 beds,2 baths,"1,429 ftsq"
#1428,"Off-Market on 10/17/2016 at $3,700",studio,1 bath,929 ftsq
#1430,"Sold on 11/15/2006 for $595,676",,,
#1500,"Sold on 10/18/2012 for $1,500,000",1 bed,1 bath,"1,576 ftsq"
#1501,"Off-Market on 06/16/2014 at $3,500",1 bed,1 bath,734 ftsq
#1502,"Sold on 11/10/2016 for $1,150,000",1 bed,1 bath,"1,100 ftsq"
#1504,"Sold on 10/22/2013 for $1,100,000",studio,1 bath,"1,169 ftsq"
#1506,"Sold on 10/06/2006 for $969,000",,,
#1508,"Listed for rent at $3,200",studio,1 bath,660 ftsq
#1510,"Off-Market on 09/09/2006 at $9,150",3 beds,3 baths,"2,220 ftsq"
#1512,Sold on 10/12/2018 for $0,2 beds,2 baths,"1,809 ftsq"
#1514,"Off-Market on 04/07/2018 at $8,500",1 bed,2 baths,"2,028 ftsq"
#1516,"Sold on 08/28/2013 for $1,615,000",2 beds,2 baths,"1,727 ftsq"
#1520,"Sold on 06/02/2008 for $2,450,000",3 beds,3 baths,"2,300 ftsq"
#1522,"Sold on 05/19/2006 for $461,370",,,
#1524,"Sold on 09/09/2014 for $1,350,000",1 bed,2 baths,"1,509 ftsq"
#1526,Sold on 11/27/2013 for $0,studio,2 baths,"1,429 ftsq"
#1528,"Off-Market on 11/13/2017 at $3,500",studio,1 bath,916 ftsq
#1530,"Sold on 11/28/2011 for $1,064,000",2 beds,2 baths,"1,430 ftsq"
#1600,"Sold on 07/06/2017 for $1,635,000",1 bed,1 bath,"1,580 ftsq"
#1601,Sold on 09/18/2017 for $10,studio,1 bath,734 ftsq
#1602,"Sold on 06/16/2006 for $560,037",,,
#1604,"Off-Market on 03/27/2009 at $1,150,000",2 beds,1 bath,"1,169 ftsq"
#1606,"Off-Market on 05/12/2015 at $5,500",2 beds,1 bath,"1,080 ftsq"
#1608,"Off-Market on 05/20/2016 at $3,200",1 bed,1 bath,
#1610,"Off-Market on 09/04/2018 at $12,500",3 beds,3 baths,"2,220 ftsq"
#1612,"Off-Market on 07/24/2015 at $7,300",1 bed,2 baths,"1,809 ftsq"
#1616,"Off-Market on 12/17/2018 at $2,250,000",1 bed,2 baths,"1,727 ftsq"
#1620,"Listed for sale at $2,875,000",3 beds,3 baths,"2,300 ftsq"
#1624,"Off-Market on 10/09/2013 at $5,500",2 beds,2 baths,"1,510 ftsq"
#1626,"Off-Market on 02/02/2011 at $1,350,000",2 beds,2 baths,"1,429 ftsq"
#1628,"Sold on 02/23/2007 for $801,000",,,
#1630,"Sold on 10/17/2011 for $1,045,000",studio,1 bath,"1,418 ftsq"
#1700,"Off-Market on 08/08/2018 at $7,200",2 beds,2 baths,"1,576 ftsq"
#1701,"Sold on 08/05/2014 for $895,000",,,
#1702,"Sold on 04/13/2016 for $1,185,000",studio,1 bath,943 ftsq
#1704,"Off-Market on 11/15/2018 at $1,299,000",1 bed,1 bath,"1,174 ftsq"
#1706,"Sold on 09/28/2017 for $1,340,000",studio,1 bath,"1,077 ftsq"
#1708,"Sold on 08/19/2015 for $900,000",studio,1 bath,659 ftsq
