#2001,"Off-Market on 06/07/2016 at $4,362",1 bed,1 bath,982 ftsq
#2002,Off-Market,,,910 ftsq
#2003,"Off-Market on 01/19/2014 at $3,995",3 beds,1 bath,797 ftsq
#2004,"Off-Market on 12/11/2018 at $3,162",studio,1 bath,556 ftsq
#2005,"Listed for rent at $3,000",3 beds,1 bath,
#2006,"Off-Market on 10/29/2015 at $3,895",studio,1 bath,917 ftsq
#2007,"Off-Market on 08/24/2018 at $3,134",1 bed,1 bath,650 ftsq
#2008,Off-Market,,,750 ftsq
#2009,"Off-Market on 01/09/2018 at $2,764",studio,1 bath,630 ftsq
#2010,"Off-Market on 01/19/2016 at $3,471",studio,1 bath,847 ftsq
#2011,"Off-Market on 03/28/2016 at $3,175",studio,1 bath,601 ftsq
#2012,"Off-Market on 08/19/2013 at $2,995",studio,1 bath,570 ftsq
#2013,"Off-Market on 06/28/2018 at $3,092",studio,1 bath,700 ftsq
#2101,"Off-Market on 11/05/2014 at $4,745",1 bed,1 bath,
#2102,"Off-Market on 10/09/2015 at $3,850",1 bed,1 bath,755 ftsq
#2103,"Off-Market on 05/03/2017 at $4,361",1 bed,1 bath,"1,010 ftsq"
#2104,"Off-Market on 03/02/2015 at $3,595",studio,1 bath,686 ftsq
#2105,"Off-Market on 06/28/2018 at $3,041",studio,1 bath,676 ftsq
#2106,"Off-Market on 02/23/2018 at $4,750",3 beds,1 bath,"1,008 ftsq"
#2107,"Off-Market on 02/13/2017 at $3,595",1 bed,1 bath,
#2108,"Off-Market on 09/01/2017 at $3,095",studio,1 bath,508 ftsq
#2109,"Off-Market on 03/28/2016 at $3,625",studio,1 bath,757 ftsq
#2110,"Off-Market on 07/08/2013 at $3,199",2 beds,1 bath,
#2111,"Off-Market on 12/07/2015 at $4,340",studio,1 bath,939 ftsq
#2123,"Off-Market on 07/24/2013 at $3,750",3 beds,1 bath,
#2160,"Off-Market on 03/06/2018 at $4,700",3 beds,1 bath,"1,115 ftsq"
#2201,"Off-Market on 05/17/2017 at $3,161",1 bed,1 bath,685 ftsq
#2203,"Off-Market on 05/25/2013 at $3,688",1 bed,1 bath,725 ftsq
#2204,"Off-Market on 03/08/2017 at $3,369",1 bed,1 bath,714 ftsq
#2205,"Off-Market on 12/10/2018 at $3,985",1 bed,1 bath,725 ftsq
#2206,"Off-Market on 09/02/2014 at $4,150",1 bed,1 bath,725 ftsq
#2207,"Off-Market on 08/24/2018 at $3,946",1 bed,1 bath,830 ftsq
#2208,"Off-Market on 11/08/2017 at $4,450",3 beds,1 bath,
#2209,"Off-Market on 01/07/2018 at $4,135",1 bed,1 bath,915 ftsq
#2210,"Off-Market on 10/29/2013 at $3,250",2 beds,1 bath,
#2215,"Off-Market on 11/02/2013 at $2,895",2 beds,1 bath,
#2301,"Off-Market on 04/17/2017 at $4,242",1 bed,1 bath,914 ftsq
#2302,"Off-Market on 02/02/2015 at $3,595",studio,1 bath,
#2303,"Off-Market on 02/11/2018 at $3,226",studio,1 bath,652 ftsq
#2304,"Off-Market on 10/18/2018 at $3,111",studio,1 bath,700 ftsq
#2305,"Off-Market on 12/14/2015 at $3,230",studio,1 bath,717 ftsq
#2306,"Off-Market on 05/16/2013 at $3,095",3 beds,1 bath,
#2307,"Off-Market on 06/01/2017 at $3,295",studio,1 bath,654 ftsq
#2308,"Off-Market on 05/20/2017 at $2,792",studio,1 bath,570 ftsq
#2309,"Off-Market on 04/19/2015 at $3,195",studio,1 bath,591 ftsq
#2311,"Off-Market on 05/15/2017 at $2,949",studio,1 bath,752 ftsq
#2311A,"Off-Market on 10/06/2013 at $2,750",2 beds,1 bath,850 ftsq
#2340,"Off-Market on 10/26/2013 at $3,700",3 beds,1 bath,
#2401,"Listed for rent at $4,200",1 bed,1 bath,
#2402,"Off-Market on 06/01/2017 at $3,395",studio,1 bath,682 ftsq
#2403,"Off-Market on 08/16/2018 at $3,023",studio,1 bath,652 ftsq
#2404,"Off-Market on 06/18/2018 at $2,949",studio,1 bath,625 ftsq
#2406,"Off-Market on 04/01/2015 at $3,595",studio,1 bath,
#2407,"Off-Market on 10/29/2013 at $3,700",1 bed,1 bath,650 ftsq
#2408,"Off-Market on 09/30/2018 at $2,908",studio,1 bath,570 ftsq
#2409,"Off-Market on 07/17/2013 at $2,630",studio,1 bath,591 ftsq
#2410,"Off-Market on 03/20/2018 at $2,750",studio,1 bath,564 ftsq
#2411,"Off-Market on 08/06/2018 at $3,041",studio,1 bath,
