#3A,Off-Market,,,669 ftsq
#16E,Sold on 06/27/2016 for $0,1 bed,1 bath,708 ftsq
#16F,"Off-Market on 06/20/2013 at $2,925",1 bed,1 bath,699 ftsq
#16G,"Off-Market on 12/19/2014 at $6,500",2 beds,2 baths,"1,202 ftsq"
#16H,"Off-Market on 03/29/2018 at $4,995",2 beds,1 bath,850 ftsq
#16J,"Off-Market on 01/31/2017 at $3,400",1 bed,1 bath,639 ftsq
#16K,"Off-Market on 10/06/2015 at $3,500",1 bed,1 bath,624 ftsq
#17A,"Sold on 01/16/1998 for $200,000",,,624 ftsq
#P1,Off-Market,,,"6,885 ftsq"
#17B,"Off-Market on 02/17/2017 at $3,000",1 bed,1 bath,588 ftsq
#17C,"Listed for rent at $5,700",2 beds,2 baths,964 ftsq
#17D,"Off-Market on 05/07/2018 at $6,795",2 beds,2.5 baths,"1,342 ftsq"
#17BC,"Off-Market on 11/19/2011 at $7,800",3 beds,3 baths,
#17E,"Off-Market on 01/26/2017 at $3,120",1 bed,1 bath,708 ftsq
#17F,Off-Market,,,699 ftsq
#17G,"Off-Market on 09/27/2016 at $14,700",2 beds,2 baths,"1,202 ftsq"
#17H,"Off-Market on 03/08/2018 at $5,095",2 beds,1 bath,850 ftsq
#17J,"Off-Market on 04/17/2012 at $2,695",1 bed,1 bath,639 ftsq
#17K,"Off-Market on 05/12/2016 at $3,200",studio,1 bath,610 ftsq
#17,"Off-Market on 03/18/2012 at $3,750",1 bed,1 bath,708 ftsq
#18B,"Sold on 02/19/2004 for $345,000",,,588 ftsq
#18C,"Off-Market on 02/14/2014 at $5,150",2 beds,2 baths,964 ftsq
#18D,Off-Market,,,"1,342 ftsq"
#18E,"Off-Market on 03/30/2017 at $3,500",1 bed,1 bath,785 ftsq
#18F,"Off-Market on 06/27/2015 at $3,895",1 bed,1 bath,699 ftsq
#18G,"Sold on 12/31/2005 for $8,963,523",,,"1,202 ftsq"
#18H,"Off-Market on 06/08/2016 at $4,500",2 beds,1 bath,850 ftsq
#18J,"Off-Market on 03/23/2017 at $599,995",studio,1 bath,639 ftsq
#18K,"Sold on 06/29/2017 for $655,000",1 bed,1 bath,610 ftsq
#19A,"Off-Market on 04/28/2018 at $3,675",1 bed,1 bath,624 ftsq
#19B,Off-Market,,,588 ftsq
#19C,"Off-Market on 10/04/2012 at $1,130,000",2 beds,2 baths,"1,061 ftsq"
#19D,Off-Market,,,"1,342 ftsq"
#19E,"Off-Market on 11/06/2017 at $4,500",1 bed,1 bath,708 ftsq
#19F,"Sold on 12/09/2016 for $930,000",1 bed,1 bath,700 ftsq
#19G,"Sold on 12/31/2005 for $8,963,523",,,"1,202 ftsq"
#19H,"Sold on 12/31/2005 for $8,963,523",,,850 ftsq
#19J,"Off-Market on 03/03/2017 at $3,150",1 bed,1 bath,639 ftsq
#19K,"Off-Market on 06/22/2017 at $3,300",1 bed,1 bath,610 ftsq
#20A,"Off-Market on 03/11/2017 at $3,200",1 bed,1 bath,624 ftsq
#20B,Off-Market,,,588 ftsq
#20C,"Off-Market on 07/19/2016 at $5,895",2 beds,2 baths,"1,097 ftsq"
#S3,"Sold on 12/31/2005 for $173,141,134",,,
#20D,"Sold on 12/15/2017 for $1,650,000",2 beds,2 baths,"1,342 ftsq"
#S4,"Sold on 12/31/2005 for $173,141,134",,,
#20E,"Sold on 01/21/2011 for $95,000",1 bed,1 bath,708 ftsq
#S5,"Sold on 12/31/2005 for $173,141,134",,,
#20F,"Off-Market on 11/05/2009 at $720,000",1 bed,1 bath,699 ftsq
#20G,"Sold on 12/31/2005 for $8,963,523",,,"1,202 ftsq"
#S7,"Sold on 12/31/2005 for $173,141,134",,,
#20H,"Off-Market on 01/13/2015 at $3,750",1 bed,1 bath,850 ftsq
#S8,"Sold on 03/28/2018 for $40,000",,,
#S9,"Sold on 12/31/2005 for $173,141,134",,,
#20J,"Off-Market on 06/25/2018 at $3,450",1 bed,1 bath,639 ftsq
#S10,"Sold on 12/31/2005 for $173,141,134",,,
#20K,"Off-Market on 03/19/2017 at $2,954",1 bed,1 bath,610 ftsq
#S11,"Sold on 12/31/2005 for $173,141,134",,,
#21A,"Off-Market on 04/30/2016 at $3,550",1 bed,1 bath,624 ftsq
#21B,"Off-Market on 05/14/2018 at $3,500",1 bed,1 bath,588 ftsq
#21C,"Sold on 04/06/1999 for $322,500",,,"1,097 ftsq"
#21D,"Off-Market on 02/23/2011 at $5,500",2 beds,2 baths,"1,300 ftsq"
#21E,Off-Market,,,708 ftsq
#21F,Off-Market,,,699 ftsq
#21G,"Off-Market on 06/26/2016 at $7,295",3 beds,2 baths,"1,202 ftsq"
#21H,"Sold on 12/31/2005 for $8,963,523",,,850 ftsq
#21J,"Off-Market on 04/10/2017 at $3,400",1 bed,1 bath,639 ftsq
#21K,"Off-Market on 12/31/2016 at $6,870",1 bed,1 bath,610 ftsq
#22A,Off-Market,,,624 ftsq
#22B,"Off-Market on 03/15/2016 at $3,295",1 bed,1 bath,588 ftsq
#22C,"Sold on 08/17/2017 for $1,250,000",2 beds,2 baths,982 ftsq
#22D,"Off-Market on 08/02/2015 at $8,850",2 beds,2.5 baths,"1,342 ftsq"
#22E,Off-Market,,,708 ftsq
#22F,"Off-Market on 10/15/2015 at $4,150",1 bed,1 bath,699 ftsq
#22G,"Sold on 12/31/2005 for $8,963,523",,,"1,202 ftsq"
#22H,"Sold on 12/31/2005 for $8,963,523",,,850 ftsq
#22J,"Sold on 12/31/2005 for $6,678,703",,,639 ftsq
#22K,"Off-Market on 04/25/2017 at $3,450",1 bed,1 bath,610 ftsq
#23A,"Off-Market on 08/29/2013 at $2,695",1 bed,1 bath,624 ftsq
#23B,"Off-Market on 09/04/2012 at $2,875",1 bed,1 bath,588 ftsq
#23C,"Sold on 11/06/2001 for $250,000",,,"1,097 ftsq"
#23D,Off-Market,,,"1,342 ftsq"
#23E,Off-Market,,,708 ftsq
#23F,"Off-Market on 02/04/2016 at $4,275",1 bed,1 bath,699 ftsq
#23G,"Listed for rent at $6,875",3 beds,2 baths,"1,202 ftsq"
#23H,"Off-Market on 05/29/2018 at $4,975",2 beds,1 bath,850 ftsq
#23J,"Sold on 12/31/2005 for $6,678,703",,,639 ftsq
#23K,"Off-Market on 04/20/2017 at $3,000",1 bed,1 bath,610 ftsq
#24A,Off-Market,,,624 ftsq
#24B,"Off-Market on 01/08/2016 at $3,350",1 bed,1 bath,588 ftsq
#24C,"Listed for rent at $5,995",2 beds,2 baths,964 ftsq
#24D,Off-Market,,,"1,342 ftsq"
#24E,Off-Market,,,708 ftsq
#24F,Off-Market,,,699 ftsq
#24G,"Sold on 12/31/2005 for $8,963,523",,,"1,202 ftsq"
#24H,"Off-Market on 02/02/2016 at $4,850",2 beds,1 bath,850 ftsq
#24J,"Off-Market on 06/25/2018 at $3,550",1 bed,1 bath,639 ftsq
#24K,"Off-Market on 06/09/2013 at $2,950",1 bed,1 bath,610 ftsq
#25A,"Off-Market on 05/31/2017 at $3,500",1 bed,1 bath,624 ftsq
#25B,Sold on 05/19/2005 for $0,,,588 ftsq
#25C,"Off-Market on 03/01/2017 at $6,350",2 beds,2 baths,964 ftsq
#25D,Off-Market,,,"1,342 ftsq"
#25E,"Off-Market on 02/04/2017 at $4,100",1 bed,1 bath,708 ftsq
#25F,"Off-Market on 02/06/2018 at $4,500",1 bed,1 bath,699 ftsq
#25G,"Sold on 12/31/2005 for $8,963,523",,,"1,202 ftsq"
#25H,"Off-Market on 02/18/2015 at $3,950",1 bed,1 bath,850 ftsq
#25J,"Off-Market on 03/11/2015 at $3,350",1 bed,1 bath,640 ftsq
#25K,"Off-Market on 08/26/2014 at $3,450",1 bed,1 bath,610 ftsq
#26A,"Sold on 08/22/2018 for $690,000",1 bed,1 bath,624 ftsq
#26B,"Off-Market on 06/18/2016 at $3,450",1 bed,1 bath,588 ftsq
#26C,"Off-Market on 01/18/2016 at $6,150",2 beds,2 baths,964 ftsq
#26D,Off-Market,,,"1,392 ftsq"
#26E,"Listed for rent at $4,500",1 bed,1 bath,708 ftsq
#26F,"Off-Market on 01/13/2017 at $3,950",1 bed,1 bath,708 ftsq
#26G,"Off-Market on 12/09/2018 at $6,450",2 beds,2 baths,"1,202 ftsq"
#26H,"Sold on 12/31/2005 for $8,963,523",,,850 ftsq
#26J,"Off-Market on 03/08/2018 at $3,450",1 bed,1 bath,639 ftsq
#26K,"Off-Market on 10/19/2017 at $3,675",1 bed,1 bath,610 ftsq
#27A,Off-Market,,,"1,466 ftsq"
#27C,"Off-Market on 07/19/2015 at $8,995",2 beds,2 baths,"1,395 ftsq"
#27E,Sold on 03/28/2013 for $0,,,708 ftsq
#27F,"Sold on 12/31/2005 for $8,963,523",,,699 ftsq
#27G,"Listed for rent at $7,196",2 beds,2 baths,"1,202 ftsq"
#27H,"Sold on 12/31/2005 for $8,963,523",,,"1,466 ftsq"
NA_53821,Off-Market,,,
NA_55732,Off-Market,,,
NA_131513,Off-Market,,,
NA_156310,Off-Market,,,
#PHA,Off-Market,,,"1,466 ftsq"
#PHB,Off-Market,,,"1,622 ftsq"
#PHC,Off-Market,,,"1,726 ftsq"
#PHE,Off-Market,,,708 ftsq
#PHF,"Sold on 12/31/2005 for $8,963,523",,,699 ftsq
#PHG,"Sold on 12/31/2005 for $8,963,523",,,"1,202 ftsq"
#PHH,"Sold on 12/31/2005 for $8,963,523",,,"1,466 ftsq"
