#6E,Off-Market,,,
#24BE,"Off-Market on 11/10/2018 at $16,000",2 beds,2.5 baths,"1,668 ftsq"
#24AW,Off-Market,,,
#24BW,Off-Market,,,
24A-EAST,"Off-Market on 06/27/2017 at $21,500",3 beds,3.5 baths,"2,245 ftsq"
24B-EAST,"Sold on 10/20/2016 for $4,900,000",2 beds,2.5 baths,"1,668 ftsq"
24A-WEST,"Off-Market on 07/21/2016 at $13,900",2 beds,2.5 baths,"1,691 ftsq"
24B-WEST,"Off-Market on 01/18/2017 at $21,000",3 beds,3.5 baths,"2,252 ftsq"
#25AE,Off-Market,,,
#25BE,"Sold on 07/07/2016 for $4,317,066",,,
#25AW,"Sold on 09/09/2016 for $5,650,000",,,
#25BW,"Sold on 06/24/2016 for $5,854,937",,,
25A-EAST,"Off-Market on 02/28/2017 at $5,400,000",3 beds,3.5 baths,"2,245 ftsq"
25B-EAST,"Off-Market on 07/24/2017 at $4,800,000",2 beds,2.5 baths,"1,668 ftsq"
25A-WEST,"Off-Market on 06/15/2016 at $4,950,000",2 beds,2.5 baths,"1,691 ftsq"
25AWEST,"Sold on 09/09/2016 for $5,650,000",2 beds,2.5 baths,"1,691 ftsq"
25B-WEST,"Off-Market on 06/24/2016 at $6,100,000",3 beds,3.5 baths,"2,252 ftsq"
#26B,"Off-Market on 06/13/2018 at $15,000",2 beds,2.5 baths,"1,668 ftsq"
#26AE,Off-Market,,,
#26BE,"Off-Market on 04/30/2018 at $4,995,000",2 beds,2.5 baths,"1,668 ftsq"
#26AW,"Sold on 07/20/2016 for $4,598,138",,,
#26BW,"Sold on 07/28/2016 for $5,486,697",,,
26A-EAST,"Off-Market on 07/24/2018 at $6,790,000",3 beds,3.5 baths,"2,245 ftsq"
26B-EAST,"Off-Market on 07/05/2016 at $4,550,000",2 beds,2.5 baths,"1,668 ftsq"
26BEAST,"Off-Market on 04/04/2017 at $13,000",2 beds,2.5 baths,"1,668 ftsq"
26A-WEST,"Listed for sale at $5,195,000",2 beds,2.5 baths,"1,691 ftsq"
26B-WEST,"Off-Market on 10/30/2017 at $21,000",3 beds,3.5 baths,"2,252 ftsq"
#27AE,Off-Market,,,
#27BE,Off-Market,,,
#27AW,"Sold on 06/28/2016 for $4,292,633",,,
#27BW,"Sold on 07/07/2016 for $5,977,718",,,
27A-EAST,"Off-Market on 09/07/2018 at $18,900",3 beds,3.5 baths,"2,245 ftsq"
27AEAST,"Off-Market on 08/20/2009 at $5,400,000",3 beds,3.5 baths,"2,252 ftsq"
27B-EAST,"Off-Market on 07/19/2016 at $17,500",2 beds,2.5 baths,"1,668 ftsq"
27BEAST,"Off-Market on 08/20/2009 at $4,100,000",2 beds,2.5 baths,"1,684 ftsq"
27A-WEST,"Off-Market on 06/28/2016 at $4,350,000",2 beds,2.5 baths,"1,691 ftsq"
27AWEST,"Off-Market on 08/20/2009 at $4,250,000",2 beds,2.5 baths,"1,697 ftsq"
27B-WEST,"Sold on 11/16/2017 for $6,975,000",3 beds,3.5 baths,"2,252 ftsq"
27BWEST,"Off-Market on 08/20/2009 at $5,600,000",3 beds,3.5 baths,"2,260 ftsq"
#28AE,Off-Market,,,
#28BE,"Sold on 07/14/2016 for $4,139,660",,,
#28AW,Sold on 08/31/2016 for $0,,,
#28BW,"Sold on 07/12/2016 for $6,079,782",,,
28A-EAST,"Off-Market on 05/04/2017 at $6,700,000",3 beds,3.5 baths,"2,245 ftsq"
28B-EAST,"Off-Market on 08/27/2018 at $14,350",2 beds,2.5 baths,"1,668 ftsq"
28A-WEST,"Off-Market on 07/12/2016 at $4,550,000",2 beds,2.5 baths,"1,691 ftsq"
28AWEST,"Off-Market on 08/20/2018 at $14,950",2 beds,2.5 baths,"1,691 ftsq"
28B-WEST,"Off-Market on 07/12/2016 at $6,300,000",3 beds,3.5 baths,"2,252 ftsq"
#29AE,Off-Market,,,
#29BE,"Sold on 07/18/2016 for $4,241,268",,,
#29AW,"Sold on 07/15/2016 for $5,208,567",,,
#29BW,"Off-Market on 11/29/2017 at $22,000",3 beds,3.5 baths,
29A-EAST,"Off-Market on 02/08/2017 at $6,650,000",3 beds,3.5 baths,"2,175 ftsq"
29B-EAST,"Off-Market on 07/19/2016 at $4,450,000",2 beds,2.5 baths,"1,668 ftsq"
29A-WEST,"Off-Market on 07/15/2016 at $5,100,000",2 beds,2.5 baths,"1,624 ftsq"
29AWEST,"Off-Market on 06/01/2018 at $14,950",2 beds,2 baths,"1,624 ftsq"
29B-WEST,"Off-Market on 07/19/2016 at $6,225,000",3 beds,3.5 baths,"2,177 ftsq"
29BWEST,"Off-Market on 11/08/2017 at $22,000",3 beds,3.5 baths,
#30AE,Off-Market,,,
#30BE,"Sold on 08/08/2016 for $4,241,457",,,
#30AW,"Off-Market on 06/23/2017 at $14,000",2 beds,2.5 baths,
#30BW,"Sold on 07/08/2016 for $5,748,158",,,
30A-EAST,"Off-Market on 05/12/2017 at $6,650,000",3 beds,3.5 baths,"2,175 ftsq"
30B-EAST,"Off-Market on 02/14/2018 at $15,000",2 beds,2.5 baths,"1,668 ftsq"
30BEAST,"Off-Market on 12/22/2017 at $15,000",2 beds,2.5 baths,"1,684 ftsq"
30A-WEST,"Sold on 06/30/2017 for $5,200,000",2 beds,2.5 baths,"1,624 ftsq"
30AWEST,"Off-Market on 03/14/2017 at $5,650,000",2 beds,2 baths,"1,624 ftsq"
30B-WEST,"Off-Market on 07/11/2016 at $6,225,000",3 beds,3.5 baths,"2,177 ftsq"
30BWEST,"Off-Market on 01/20/2017 at $21,000",3 beds,3.5 baths,"2,177 ftsq"
#31AE,Off-Market,,,
#31BE,"Sold on 07/13/2016 for $4,597,923",,,
#31AW,"Sold on 07/26/2016 for $4,597,463",,,
#31BW,"Off-Market on 10/07/2018 at $7,250,000",3 beds,3.5 baths,"2,177 ftsq"
31A-EAST,"Off-Market on 03/03/2017 at $6,700,000",3 beds,3.5 baths,"2,175 ftsq"
31AEAST,"Off-Market on 03/19/2017 at $19,000",3 beds,3 baths,"2,175 ftsq"
31B-EAST,"Off-Market on 07/13/2016 at $4,800,000",2 beds,2.5 baths,"1,668 ftsq"
