#2405,"Off-Market on 05/01/2018 at $3,643",1 bed,1 bath,
#2406,"Listed for rent at $6,600",2 beds,2 baths,
#2407,"Off-Market on 07/06/2018 at $4,200",1 bed,1 bath,677 ftsq
#2408,"Off-Market on 04/25/2017 at $6,500",2 beds,2 baths,
#2502,"Off-Market on 04/16/2018 at $4,114",2 beds,1 bath,880 ftsq
#2506,"Off-Market on 06/12/2018 at $6,923",2 beds,2 baths,"1,170 ftsq"
#2507,"Off-Market on 01/12/2018 at $3,514",1 bed,1 bath,
#2508,"Off-Market on 05/17/2013 at $6,320",2 beds,2 baths,
#2602,"Off-Market on 12/10/2013 at $4,245",1 bed,1 bath,
#2604,"Off-Market on 12/28/2016 at $6,150",2 beds,2 baths,"1,123 ftsq"
#2605,"Off-Market on 02/04/2014 at $3,595",1 bed,1 bath,
#2608,"Off-Market on 12/13/2018 at $6,692",2 beds,2 baths,
#2702,"Off-Market on 11/01/2016 at $4,585",1 bed,1 bath,880 ftsq
#2704,"Off-Market on 08/24/2012 at $5,550",2 beds,2 baths,
#2802,"Off-Market on 04/20/2018 at $4,050",1 bed,1 bath,
#2803,"Off-Market on 03/09/2018 at $3,257",2 beds,1 bath,
#2804,"Off-Market on 05/27/2016 at $6,295",2 beds,2 baths,
#2805,"Off-Market on 01/31/2018 at $3,986",1 bed,1 bath,
#2806,"Off-Market on 05/07/2008 at $5,850",2 beds,2 baths,"1,215 ftsq"
#2807,"Off-Market on 04/19/2016 at $3,692",1 bed,1 bath,
#2808,"Listed for rent at $6,415",2 beds,2 baths,
#2901,"Off-Market on 03/13/2018 at $3,300",1 bed,1 bath,
#2903,"Off-Market on 08/08/2017 at $3,900",1 bed,1 bath,600 ftsq
#2904,"Off-Market on 08/16/2016 at $6,325",2 beds,2 baths,"1,123 ftsq"
#2905,"Off-Market on 03/27/2018 at $3,986",2 beds,1 bath,
#2906,"Off-Market on 07/17/2017 at $7,840",2 beds,2 baths,
#2907,"Off-Market on 02/16/2017 at $4,075",1 bed,1 bath,
#2908,"Off-Market on 08/24/2018 at $7,025",2 beds,2 baths,
#3001,"Off-Market on 03/06/2018 at $3,429",1 bed,1 bath,660 ftsq
#3002,"Off-Market on 02/27/2018 at $4,007",1 bed,1 bath,830 ftsq
#3003,"Off-Market on 12/05/2017 at $3,257",1 bed,1 bath,
#3004,"Off-Market on 09/18/2015 at $6,400",2 beds,2 baths,"1,125 ftsq"
#3005,"Off-Market on 03/30/2018 at $3,990",1 bed,1 bath,
#3006,"Off-Market on 05/18/2018 at $6,686",2 beds,2 baths,
#3101,"Off-Market on 12/16/2016 at $3,715",1 bed,1 bath,650 ftsq
#3102,"Off-Market on 02/22/2017 at $4,665",1 bed,1 bath,
#3103,"Off-Market on 08/08/2017 at $4,085",1 bed,1 bath,
#3104,"Off-Market on 06/26/2015 at $6,595",2 beds,2 baths,770 ftsq
#3105,"Off-Market on 10/03/2017 at $4,485",1 bed,1 bath,
#3107,"Off-Market on 05/08/2018 at $3,656",1 bed,1 bath,
#3108,"Off-Market on 02/16/2018 at $5,650",3 beds,2 baths,"1,260 ftsq"
#3118,"Off-Market on 03/25/2010 at $3,010",1 bed,1 bath,690 ftsq
#3125,"Off-Market on 04/01/2010 at $3,495",1 bed,1 bath,760 ftsq
#3201,"Off-Market on 01/05/2013 at $3,400",1 bed,1 bath,
#3202,"Off-Market on 12/28/2017 at $3,955",2 beds,1 bath,830 ftsq
#3203,"Off-Market on 02/23/2018 at $3,386",2 beds,1 bath,680 ftsq
#3204,"Off-Market on 06/09/2015 at $6,600",2 beds,2 baths,"1,125 ftsq"
#3205,"Off-Market on 04/13/2018 at $4,029",1 bed,1 bath,
#3207,"Off-Market on 03/21/2014 at $3,795",1 bed,1 bath,
#3212,"Off-Market on 03/18/2010 at $4,500",2 beds,2 baths,"1,100 ftsq"
#3213,"Off-Market on 03/18/2010 at $4,150",2 beds,2 baths,975 ftsq
#3218,"Off-Market on 03/25/2011 at $5,100",2 beds,2 baths,"1,125 ftsq"
#3225,"Off-Market on 04/01/2010 at $4,150",2 beds,2 baths,975 ftsq
#3229,"Off-Market on 03/25/2011 at $5,100",2 beds,2 baths,
#3301,"Off-Market on 12/11/2012 at $3,295",1 bed,1 bath,650 ftsq
#3302,"Off-Market on 07/31/2015 at $4,900",1 bed,1 bath,
#3303,"Off-Market on 11/17/2015 at $3,900",1 bed,1 bath,
#3304,"Off-Market on 03/14/2017 at $6,500",2 beds,2 baths,"1,215 ftsq"
#3305,"Off-Market on 09/07/2018 at $4,775",1 bed,1 bath,
#3307,"Off-Market on 03/11/2016 at $3,554",1 bed,1 bath,690 ftsq
#3308,"Off-Market on 03/21/2014 at $6,350",2 beds,2 baths,"1,100 ftsq"
#3401,"Off-Market on 05/08/2018 at $3,600",1 bed,1 bath,660 ftsq
#3402,"Off-Market on 12/01/2017 at $3,943",1 bed,1 bath,
#3403,"Off-Market on 08/31/2018 at $4,275",1 bed,1 bath,
#3404,"Off-Market on 09/09/2015 at $6,885",2 beds,2 baths,
#3405,"Off-Market on 11/29/2016 at $4,450",1 bed,1 bath,
#3406,"Listed for rent at $7,200",2 beds,2 baths,"1,215 ftsq"
#3407,"Off-Market on 08/24/2018 at $4,285",1 bed,1 bath,
#3408,"Off-Market on 08/01/2017 at $6,775",2 beds,2 baths,"1,096 ftsq"
#3501,"Off-Market on 12/13/2018 at $4,038",1 bed,1 bath,660 ftsq
#3502,"Off-Market on 02/22/2017 at $4,700",1 bed,1 bath,
#3503,"Off-Market on 03/14/2017 at $3,950",1 bed,1 bath,
#3504,"Off-Market on 07/26/2016 at $6,300",2 beds,2 baths,"1,123 ftsq"
#3505,"Off-Market on 08/05/2014 at $4,500",1 bed,1 bath,
#3507,"Off-Market on 09/07/2018 at $4,750",1 bed,1 bath,690 ftsq
#3508,"Off-Market on 10/12/2018 at $7,100",2 beds,2 baths,
#3601,"Off-Market on 04/26/2018 at $3,574",1 bed,1 bath,
#3602,"Off-Market on 04/11/2017 at $4,675",1 bed,1 bath,825 ftsq
#3603,"Off-Market on 11/28/2017 at $3,514",1 bed,1 bath,680 ftsq
#3604,"Off-Market on 10/27/2017 at $5,829",2 beds,2 baths,
#3605,"Off-Market on 04/20/2018 at $4,114",1 bed,1 bath,
#3606,"Off-Market on 09/20/2016 at $6,900",2 beds,2 baths,"1,215 ftsq"
#3607,"Off-Market on 04/01/2016 at $3,605",1 bed,1 bath,
#3608,"Off-Market on 08/02/2013 at $6,095",2 beds,2 baths,
#3609,"Off-Market on 03/19/2013 at $3,300",1 bed,1 bath,
#3701,"Off-Market on 08/31/2016 at $3,925",1 bed,1 bath,800 ftsq
#3702,"Off-Market on 01/27/2017 at $4,685",1 bed,1 bath,
#3703,"Off-Market on 12/08/2015 at $4,100",1 bed,1 bath,668 ftsq
#3801,"Off-Market on 06/26/2018 at $4,015",1 bed,1 bath,
#3802,"Off-Market on 10/22/2013 at $4,265",1 bed,1 bath,
#3803,"Off-Market on 10/06/2017 at $4,050",1 bed,1 bath,
#3804,"Off-Market on 10/30/2017 at $5,229",3 beds,2 baths,
#3805,"Off-Market on 07/10/2018 at $5,000",1 bed,1 bath,
#3806,"Off-Market on 04/16/2015 at $7,500",2 beds,2 baths,
#3807,"Off-Market on 12/09/2017 at $3,600",1 bed,1 bath,
#3808,"Off-Market on 03/04/2016 at $5,862",2 beds,2 baths,
#3901,"Off-Market on 11/15/2016 at $3,900",1 bed,1 bath,
#3902,"Off-Market on 08/22/2017 at $4,970",1 bed,1 bath,
#3903,"Off-Market on 03/28/2017 at $4,350",1 bed,1 bath,
#3905,"Off-Market on 09/11/2018 at $4,800",1 bed,1 bath,
#3906,"Off-Market on 06/23/2015 at $7,200",2 beds,2 baths,
#3907,"Listed for rent at $4,269",1 bed,1 bath,
#3909,"Off-Market on 04/11/2013 at $3,350",1 bed,1 bath,
#4001,"Off-Market on 03/28/2018 at $3,772",1 bed,1 bath,
#4002,"Off-Market on 06/02/2015 at $4,500",1 bed,1 bath,
#4003,"Off-Market on 01/31/2018 at $3,527",1 bed,1 bath,
#4004,"Off-Market on 08/22/2017 at $7,200",2 beds,2 baths,
#4005,"Off-Market on 08/14/2018 at $4,800",1 bed,1 bath,
#4006,"Off-Market on 03/30/2018 at $6,759",2 beds,2 baths,
#4007,"Off-Market on 11/20/2015 at $4,300",1 bed,1 bath,677 ftsq
#4008,"Off-Market on 10/05/2018 at $7,125",2 beds,2 baths,
#4030,"Off-Market on 05/06/2010 at $2,495",studio,1 bath,755 ftsq
#4101,"Off-Market on 02/12/2016 at $5,815",1 bed,1 bath,760 ftsq
#4102,"Off-Market on 10/05/2018 at $4,800",1 bed,1 bath,
#4103,"Off-Market on 12/20/2016 at $3,800",1 bed,1 bath,
#4104,"Off-Market on 03/08/2016 at $5,815",2 beds,2 baths,
#4104A,"Off-Market on 10/29/2013 at $5,298",2 beds,2 baths,
#4105,"Off-Market on 06/15/2018 at $4,362",1 bed,1 bath,
#4106,"Off-Market on 10/13/2015 at $13,000",2 beds,2 baths,"1,215 ftsq"
#4107,"Off-Market on 11/06/2015 at $4,350",1 bed,1 bath,690 ftsq
#4108,"Off-Market on 01/31/2012 at $5,500",2 beds,2 baths,760 ftsq
#4109,"Off-Market on 04/15/2011 at $3,595",1 bed,1 bath,760 ftsq
#4115,"Off-Market on 04/29/2011 at $3,750",1 bed,1 bath,690 ftsq
#4122,"Off-Market on 04/30/2010 at $2,930",1 bed,1 bath,680 ftsq
#4129,"Off-Market on 05/06/2011 at $3,750",1 bed,1 bath,690 ftsq
#4201,"Off-Market on 04/08/2011 at $5,100",2 beds,2 baths,"1,125 ftsq"
#5006,"Off-Market on 05/13/2010 at $2,495",studio,1 bath,755 ftsq
