#3,Off-Market,,,940 ftsq
#5H,"Off-Market on 06/18/2018 at $2,750",studio,1 bath,477 ftsq
#5M,"Off-Market on 04/26/2016 at $2,775",studio,1 bath,440 ftsq
#5N,"Listed for rent at $2,850",studio,1 bath,440 ftsq
#5O,"Off-Market on 08/25/2017 at $2,795",studio,1 bath,430 ftsq
#5P,"Off-Market on 04/21/2016 at $3,700",studio,1 bath,940 ftsq
#E,"Off-Market on 04/26/2010 at $2,825",1 bed,2 baths,"1,000 ftsq"
#6C,"Off-Market on 06/15/2016 at $3,195",1 bed,1 bath,591 ftsq
#6D,"Off-Market on 12/06/2018 at $4,695",2 beds,2 baths,862 ftsq
#6E,"Off-Market on 08/11/2016 at $3,150",1 bed,1 bath,645 ftsq
#6J,"Off-Market on 03/24/2016 at $2,490",studio,1 bath,420 ftsq
#6K,"Off-Market on 05/22/2017 at $5,995",3 beds,2 baths,"1,114 ftsq"
#6M,"Off-Market on 06/09/2017 at $2,795",studio,1 bath,438 ftsq
#6O,"Off-Market on 04/26/2016 at $2,650",studio,1 bath,420 ftsq
#6P,"Off-Market on 03/16/2016 at $3,700",1 bed,1 bath,940 ftsq
#7A,"Off-Market on 07/09/2018 at $5,150",2 beds,2 baths,"1,009 ftsq"
#7C,"Off-Market on 04/28/2016 at $4,130",1 bed,1 bath,830 ftsq
#7E,"Off-Market on 06/12/2018 at $2,895",1 bed,1 bath,645 ftsq
#7J,"Off-Market on 12/12/2017 at $2,395",studio,1 bath,420 ftsq
#7K,"Off-Market on 04/19/2016 at $5,780",3 beds,2 baths,"1,114 ftsq"
#7N,"Off-Market on 02/11/2016 at $2,810",1 bed,1 bath,440 ftsq
#7O,"Off-Market on 05/04/2018 at $2,700",studio,1 bath,430 ftsq
#8A,"Off-Market on 03/23/2016 at $3,375",1 bed,1 bath,595 ftsq
#8C,"Off-Market on 08/13/2018 at $3,150",1 bed,1 bath,591 ftsq
#8D,"Off-Market on 06/14/2017 at $4,695",2 beds,2 baths,860 ftsq
#8E,"Off-Market on 10/23/2017 at $3,078",1 bed,1 bath,645 ftsq
#8K,"Off-Market on 12/29/2017 at $5,593",3 beds,2 baths,"1,114 ftsq"
#8O,Off-Market,,,430 ftsq
#9,"Off-Market on 04/24/2010 at $2,026",studio,1 bath,
#9A,"Off-Market on 10/12/2018 at $2,650",studio,1 bath,627 ftsq
#9B,"Off-Market on 04/30/2010 at $2,675",1 bed,1 bath,
#9C,"Off-Market on 07/09/2018 at $2,575",studio,1 bath,505 ftsq
#9D,"Off-Market on 06/02/2015 at $2,675",studio,1 bath,
#9F,"Off-Market on 09/11/2018 at $3,300",1 bed,1 bath,728 ftsq
#9J,"Off-Market on 05/30/2018 at $2,600",studio,1 bath,476 ftsq
#9K,"Off-Market on 02/21/2017 at $2,495",1 bed,1 bath,518 ftsq
#9L,"Off-Market on 04/24/2010 at $3,695",2 beds,2 baths,
#9M,"Off-Market on 07/10/2018 at $3,550",1 bed,1 bath,792 ftsq
#9N,"Off-Market on 03/28/2018 at $3,550",1 bed,1 bath,
#9P,Off-Market,,,
#10,"Off-Market on 06/26/2010 at $3,780",2 beds,2 baths,
#10B,"Off-Market on 03/16/2016 at $3,250",1 bed,1 bath,627 ftsq
#10C,"Off-Market on 05/12/2015 at $2,475",studio,1 bath,505 ftsq
#10F,"Off-Market on 05/18/2018 at $3,250",1 bed,1 bath,600 ftsq
#10G,"Off-Market on 01/11/2018 at $2,284",studio,1 bath,437 ftsq
#10H,"Off-Market on 04/18/2016 at $2,395",studio,1 bath,550 ftsq
#10J,"Off-Market on 04/30/2014 at $2,375",studio,1 bath,
#10M,"Off-Market on 04/02/2018 at $3,635",1 bed,1 bath,728 ftsq
#10N,"Off-Market on 10/21/2016 at $3,295",2 beds,2 baths,"1,200 ftsq"
#10P,"Off-Market on 07/19/2017 at $3,895",2 beds,1 bath,922 ftsq
#11B,"Off-Market on 04/13/2017 at $2,895",1 bed,1 bath,627 ftsq
#11C,"Off-Market on 12/26/2016 at $2,350",studio,1 bath,530 ftsq
#11D,"Off-Market on 01/20/2017 at $3,295",2 beds,2 baths,
#11E,"Listed for rent at $3,900",1 bed,2 baths,"1,183 ftsq"
#11F,"Off-Market on 01/07/2015 at $3,200",2 beds,1 bath,800 ftsq
#11H,"Off-Market on 07/23/2018 at $2,650",studio,1 bath,461 ftsq
#11K,"Off-Market on 08/14/2018 at $2,625",1 bed,1 bath,518 ftsq
#11M,"Off-Market on 08/10/2015 at $3,375",1 bed,1 bath,
#11P,"Off-Market on 10/13/2017 at $3,795",2 beds,1 bath,922 ftsq
#12B,"Off-Market on 06/05/2018 at $3,195",1 bed,1 bath,750 ftsq
#12C,"Off-Market on 08/06/2018 at $2,495",studio,1 bath,505 ftsq
#12D,"Off-Market on 08/03/2017 at $3,750",2 beds,2 baths,860 ftsq
#12E,"Off-Market on 08/28/2013 at $3,495",2 beds,2 baths,
#12F,"Off-Market on 03/20/2012 at $2,995",2 beds,1 bath,
#12G,"Off-Market on 03/09/2017 at $2,250",studio,1 bath,437 ftsq
#12H,"Off-Market on 09/10/2014 at $2,495",studio,1 bath,
#12J,"Off-Market on 06/11/2013 at $2,325",studio,1 bath,
#12M,"Off-Market on 04/08/2016 at $3,375",1 bed,1 bath,726 ftsq
#12P,"Off-Market on 01/09/2014 at $3,450",2 beds,1 bath,
#14,"Off-Market on 04/24/2010 at $4,195",2 beds,2 baths,
#M,"Off-Market on 04/16/2010 at $2,750",1 bed,1 bath,
#14B,"Off-Market on 07/18/2013 at $2,900",1 bed,1 bath,
#14C,"Off-Market on 08/23/2013 at $2,350",studio,1 bath,
#14E,"Off-Market on 08/13/2018 at $3,825",2 beds,2 baths,"1,183 ftsq"
#14G,"Off-Market on 07/06/2015 at $2,450",studio,1 bath,437 ftsq
#14H,"Off-Market on 06/25/2018 at $2,625",studio,1 bath,461 ftsq
#14L,"Off-Market on 04/16/2018 at $5,020",2 beds,2 baths,"1,200 ftsq"
#15,"Off-Market on 04/26/2010 at $2,949",1 bed,1 bath,
#15A,"Off-Market on 12/19/2011 at $2,195",studio,1 bath,
#15B,"Off-Market on 05/15/2018 at $3,375",1 bed,1 bath,627 ftsq
#15C,"Off-Market on 03/24/2015 at $2,450",studio,1 bath,505 ftsq
#15D,"Off-Market on 10/27/2016 at $3,995",1 bed,2 baths,860 ftsq
#15E,"Off-Market on 03/24/2017 at $3,450",2 beds,2 baths,
#15F,"Off-Market on 05/03/2015 at $3,295",1 bed,1 bath,
#15H,"Off-Market on 07/26/2012 at $2,225",studio,1 bath,
#15J,"Off-Market on 06/05/2017 at $2,750",studio,1 bath,476 ftsq
#15L,Off-Market,2 beds,2 baths,"1,200 ftsq"
#15M,"Off-Market on 07/20/2012 at $3,025",1 bed,1 bath,
#15N,"Off-Market on 09/13/2017 at $3,535",1 bed,1 bath,660 ftsq
#15P,"Off-Market on 05/04/2018 at $3,695",2 beds,1 bath,900 ftsq
#16A,"Off-Market on 05/24/2018 at $2,895",1 bed,1 bath,627 ftsq
#16B,"Off-Market on 02/14/2018 at $3,161",1 bed,1 bath,750 ftsq
#16C,"Off-Market on 07/24/2017 at $2,495",studio,1 bath,505 ftsq
#16D,"Off-Market on 03/03/2017 at $3,395",2 beds,2 baths,860 ftsq
#16E,"Off-Market on 02/10/2017 at $3,895",2 beds,2 baths,"1,200 ftsq"
#16F,"Off-Market on 05/12/2015 at $3,295",1 bed,1 bath,
#16J,"Off-Market on 01/24/2018 at $2,377",studio,1 bath,476 ftsq
#16K,"Off-Market on 11/02/2013 at $2,495",1 bed,1 bath,
#16L,"Off-Market on 02/10/2017 at $5,381",2 beds,2 baths,"1,206 ftsq"
#16N,"Off-Market on 06/15/2016 at $3,775",2 beds,1 bath,660 ftsq
#17A,"Off-Market on 09/11/2018 at $2,800",1 bed,1 bath,626 ftsq
#17C,"Off-Market on 08/01/2018 at $2,625",studio,1 bath,505 ftsq
#17E,"Off-Market on 07/24/2013 at $3,495",2 beds,2 baths,
#17F,"Off-Market on 06/05/2018 at $3,450",1 bed,1 bath,815 ftsq
#17G,"Off-Market on 02/06/2015 at $2,395",studio,1 bath,
#17J,"Off-Market on 06/25/2018 at $2,800",studio,1 bath,476 ftsq
#17K,"Off-Market on 01/19/2015 at $2,550",1 bed,1 bath,
#17L,"Off-Market on 02/14/2018 at $5,349",2 beds,2 baths,"1,206 ftsq"
#17N,"Off-Market on 05/08/2017 at $3,450",2 beds,1 bath,660 ftsq
#17P,Off-Market,,,
#18A,"Off-Market on 09/14/2018 at $3,200",studio,1 bath,672 ftsq
#18B,"Off-Market on 06/27/2010 at $2,672",1 bed,1 bath,
#18D,"Off-Market on 11/07/2018 at $3,850",studio,2 baths,862 ftsq
#18E,"Off-Market on 02/14/2018 at $4,125",1 bed,1 bath,"1,183 ftsq"
#18F,"Off-Market on 05/22/2015 at $3,295",1 bed,1 bath,
#18G,"Off-Market on 10/02/2018 at $2,625",studio,1 bath,435 ftsq
#18J,"Off-Market on 04/07/2016 at $2,395",studio,1 bath,
#18K,"Off-Market on 04/08/2014 at $2,495",1 bed,1 bath,
#18L,"Off-Market on 06/21/2017 at $5,995",2 beds,2 baths,"1,206 ftsq"
#18P,"Off-Market on 02/19/2015 at $3,525",2 beds,1 bath,
#19,"Off-Market on 04/24/2010 at $2,672",2 beds,1 bath,
#19C,"Listed for rent at $2,800",studio,1 bath,505 ftsq
#19D,"Off-Market on 09/08/2016 at $3,795",studio,2 baths,
#19E,"Off-Market on 12/09/2016 at $4,495",2 beds,2 baths,"1,183 ftsq"
#19F,"Off-Market on 05/15/2018 at $3,495",1 bed,1 bath,726 ftsq
#19G,"Off-Market on 06/09/2015 at $2,425",studio,1 bath,
#19M,"Off-Market on 07/14/2017 at $3,450",1 bed,1 bath,728 ftsq
#19N,"Off-Market on 05/01/2014 at $3,195",1 bed,1 bath,
#19P,"Off-Market on 12/07/2016 at $3,595",2 beds,1 bath,900 ftsq
#20A,"Off-Market on 02/10/2017 at $2,325",studio,1 bath,500 ftsq
#20B,"Off-Market on 03/25/2012 at $2,895",1 bed,1 bath,
#20C,"Off-Market on 08/17/2018 at $2,700",studio,1 bath,505 ftsq
#20D,"Off-Market on 12/05/2016 at $4,050",1 bed,2 baths,860 ftsq
#20E,"Off-Market on 10/05/2013 at $3,495",2 beds,2 baths,
#20F,"Off-Market on 10/05/2013 at $3,195",2 beds,1 bath,
#20H,Off-Market,,,
#20J,"Off-Market on 01/21/2015 at $2,450",studio,1 bath,
#20L,"Off-Market on 09/11/2013 at $4,595",2 beds,2 baths,
#20M,"Off-Market on 11/09/2013 at $3,195",1 bed,1 bath,
#20N,"Off-Market on 02/02/2017 at $3,338",1 bed,1 bath,660 ftsq
#20N,Off-Market,,,660 ftsq
#20P,"Off-Market on 05/08/2017 at $4,050",2 beds,1 bath,980 ftsq
#21A,"Off-Market on 06/05/2018 at $2,995",studio,1 bath,627 ftsq
#21B,Off-Market,,,
#21G,"Off-Market on 03/28/2017 at $2,391",studio,1 bath,437 ftsq
#21H,"Off-Market on 10/16/2018 at $2,650",studio,1 bath,464 ftsq
#21J,"Off-Market on 07/31/2013 at $2,125",studio,1 bath,476 ftsq
#21K,Off-Market,,,503 ftsq
#21L,"Off-Market on 12/15/2015 at $4,975",2 beds,2 baths,"1,200 ftsq"
#21M,"Off-Market on 09/29/2014 at $3,295",1 bed,1 bath,
#21P,"Off-Market on 01/31/2018 at $3,695",2 beds,1 bath,
#22A,"Off-Market on 06/01/2017 at $2,725",studio,1 bath,630 ftsq
#22B,"Off-Market on 08/25/2016 at $3,695",1 bed,1 bath,627 ftsq
#22D,"Off-Market on 04/27/2017 at $3,995",2 beds,2 baths,860 ftsq
#22E,"Off-Market on 06/15/2017 at $4,250",1 bed,1 bath,"1,183 ftsq"
#22E,Off-Market,,,"1,183 ftsq"
#22F,"Off-Market on 08/16/2018 at $3,850",1 bed,1 bath,728 ftsq
#22G,"Off-Market on 06/25/2018 at $2,675",studio,1 bath,435 ftsq
#22H,"Off-Market on 03/05/2015 at $2,475",studio,1 bath,
#22J,"Off-Market on 02/08/2018 at $2,377",studio,1 bath,476 ftsq
#22K,"Off-Market on 10/28/2014 at $2,550",1 bed,1 bath,
#22M,"Off-Market on 02/09/2018 at $3,226",1 bed,1 bath,726 ftsq
#22N,"Off-Market on 01/16/2018 at $3,410",2 beds,1 bath,660 ftsq
#22P,"Off-Market on 07/17/2015 at $3,675",1 bed,1 bath,
#23A,"Off-Market on 11/08/2014 at $2,675",1 bed,1 bath,
#23B,"Off-Market on 09/09/2015 at $3,375",1 bed,1 bath,865 ftsq
#23C,"Off-Market on 05/08/2014 at $2,375",studio,1 bath,
#23D,"Listed for rent at $3,925",studio,2 baths,862 ftsq
#23E,"Off-Market on 02/15/2017 at $3,575",2 beds,2 baths,"1,183 ftsq"
#23F,"Off-Market on 06/21/2013 at $3,195",1 bed,1 bath,
#23G,"Off-Market on 07/13/2018 at $2,725",studio,1 bath,435 ftsq
#23H,"Off-Market on 07/14/2017 at $2,575",studio,1 bath,464 ftsq
#23J,"Off-Market on 12/08/2013 at $2,375",studio,1 bath,
#23L,"Off-Market on 12/05/2016 at $4,795",2 beds,2 baths,"1,206 ftsq"
#23N,"Off-Market on 05/12/2015 at $3,295",1 bed,1 bath,686 ftsq
#23P,"Off-Market on 10/13/2011 at $3,195",2 beds,1 bath,
#24A,"Off-Market on 07/05/2014 at $2,675",1 bed,1 bath,650 ftsq
#24B,"Off-Market on 10/28/2014 at $3,295",1 bed,1 bath,865 ftsq
#24F,"Off-Market on 09/29/2014 at $3,295",2 beds,1 bath,
#24G,"Off-Market on 04/28/2016 at $2,475",studio,1 bath,437 ftsq
#24H,"Off-Market on 08/17/2018 at $2,750",studio,1 bath,461 ftsq
#24J,"Off-Market on 08/08/2018 at $2,725",studio,1 bath,476 ftsq
#24L,"Off-Market on 11/09/2016 at $4,895",2 beds,2 baths,"1,206 ftsq"
#24M,"Off-Market on 08/28/2018 at $3,695",1 bed,1 bath,792 ftsq
#24N,"Off-Market on 01/31/2018 at $3,300",1 bed,1 bath,600 ftsq
#24P,"Off-Market on 12/02/2014 at $3,525",2 beds,1 bath,
#25A,"Off-Market on 08/13/2018 at $3,250",studio,1 bath,627 ftsq
#25B,"Off-Market on 09/01/2012 at $2,995",1 bed,1 bath,865 ftsq
#25D,"Off-Market on 11/12/2018 at $4,000",1 bed,2 baths,862 ftsq
#25E,"Off-Market on 02/07/2018 at $4,703",2 beds,2 baths,"1,183 ftsq"
#25F,"Off-Market on 10/11/2017 at $3,615",2 beds,1 bath,726 ftsq
#25H,"Listed for rent at $2,795",studio,1 bath,461 ftsq
#25J,Off-Market,,,
#25K,"Off-Market on 12/18/2014 at $2,315",studio,1 bath,
#25L,"Off-Market on 04/24/2010 at $3,595",2 beds,2 baths,
#25M,"Off-Market on 04/30/2014 at $2,895",1 bed,1 bath,
#25N,"Off-Market on 03/23/2018 at $3,110",1 bed,1 bath,600 ftsq
#25P,"Off-Market on 10/17/2013 at $3,450",2 beds,1 bath,
#26A,"Off-Market on 07/20/2012 at $2,375",1 bed,,
#26C,"Off-Market on 08/16/2018 at $2,895",studio,1 bath,505 ftsq
#26D,"Off-Market on 10/16/2018 at $3,995",1 bed,2 baths,862 ftsq
#26E,"Off-Market on 12/19/2017 at $4,887",2 beds,2 baths,"1,183 ftsq"
#26F,"Off-Market on 12/10/2011 at $2,895",2 beds,1 bath,
#26G,"Off-Market on 10/25/2018 at $2,700",studio,1 bath,437 ftsq
#26J,"Off-Market on 08/17/2012 at $2,050",1 bed,1 bath,
#26L,"Listed for rent at $6,100",2 beds,2 baths,"1,199 ftsq"
#26M,"Off-Market on 01/24/2013 at $2,895",1 bed,1 bath,
#26N,"Off-Market on 07/10/2017 at $3,595",1 bed,1 bath,660 ftsq
#26P,"Off-Market on 07/18/2017 at $4,195",2 beds,1 bath,922 ftsq
#V3D,"Off-Market on 11/27/2017 at $4,241",2 beds,2 baths,862 ftsq
#V3E,"Off-Market on 11/27/2017 at $2,672",1 bed,1 bath,625 ftsq
#V10G,"Off-Market on 11/27/2017 at $2,475",studio,1 bath,437 ftsq
#3D1,"Off-Market on 02/09/2018 at $3,964",2 beds,2 baths,862 ftsq
#3F2,"Off-Market on 01/06/2018 at $2,469",studio,1 bath,"5,050 ftsq"
#V21P,"Off-Market on 11/27/2017 at $3,850",2 beds,1 bath,922 ftsq
#4F2,"Off-Market on 10/26/2017 at $2,870",studio,1 bath,585 ftsq
#4L2,"Off-Market on 08/16/2018 at $4,800",2 beds,2 baths,921 ftsq
#RES,Off-Market,,,"179,683 ftsq"
#COMM,Off-Market,,,"146,163 ftsq"
#5-0,"Off-Market on 06/29/2017 at $2,795",studio,1 bath,585 ftsq
#5F1,"Off-Market on 11/20/2017 at $2,446",1 bed,1 bath,460 ftsq
#5L2,"Off-Market on 04/13/2018 at $3,620",1 bed,1 bath,450 ftsq
#6L2,"Off-Market on 08/08/2018 at $3,695",1 bed,1 bath,640 ftsq
#7F2,"Off-Market on 04/21/2016 at $2,925",studio,1 bath,585 ftsq
#7L2,"Off-Market on 07/09/2018 at $3,650",1 bed,1 bath,640 ftsq
#8F2,"Off-Market on 07/23/2018 at $2,995",studio,1 bath,585 ftsq
#10E1,"Off-Market on 04/04/2018 at $2,165",studio,1 bath,400 ftsq
#10E2,"Off-Market on 02/10/2017 at $2,495",studio,1 bath,637 ftsq
#16-5,"Off-Market on 12/13/2016 at $4,395",1 bed,1 bath,"1,200 ftsq"
NA_2118,Off-Market,,,
#11D77,"Off-Market on 10/22/2016 at $4,095",2 beds,2 baths,860 ftsq
#11D77,Off-Market,,,860 ftsq
15PR10PX,"Off-Market on 10/09/2017 at $3,895",2 beds,1 bath,"1,206 ftsq"
15PR10PXI,"Off-Market on 09/15/2017 at $3,895",2 beds,1 bath,"1,206 ftsq"
15PR26LX,"Off-Market on 10/09/2017 at $6,195",2 beds,2 baths,"1,206 ftsq"
15PR26LXI,"Off-Market on 09/15/2017 at $6,195",2 beds,2 baths,"1,206 ftsq"
#16-11,"Off-Market on 12/13/2016 at $5,995",2 beds,2 baths,"1,250 ftsq"
#2375,"Off-Market on 10/03/2013 at $2,375",studio,1 bath,
#5878,"Off-Market on 02/24/2017 at $2,874",1 bed,1 bath,600 ftsq
15PR26G1,"Off-Market on 12/09/2017 at $2,469",studio,1 bath,437 ftsq
15PR26G11,"Off-Market on 12/11/2017 at $2,469",studio,1 bath,437 ftsq
#PH,Off-Market,,,"10,601 ftsq"
