#19E,Sold on 11/01/2017 for $0,2 beds,2.5 baths,"1,526 ftsq"
#19F,"Sold on 12/29/2016 for $3,750,000",3 beds,3.5 baths,"2,100 ftsq"
#19G,"Off-Market on 05/10/2016 at $6,450",2 beds,2 baths,"1,190 ftsq"
#20A,"Off-Market on 05/18/2018 at $11,950",3 beds,3 baths,"1,698 ftsq"
#20B,"Sold on 05/12/2017 for $2,010,000",2 beds,2.5 baths,"1,404 ftsq"
#20C,"Sold on 08/12/2010 for $999,000",2 beds,2 baths,"1,150 ftsq"
#20D,"Sold on 06/23/2016 for $999,000",1 bed,1.5 baths,875 ftsq
#20E,"Listed for sale at $2,290,000",2 beds,2.5 baths,"1,526 ftsq"
#20F,"Off-Market on 11/15/2013 at $11,500",3 beds,3.5 baths,"2,097 ftsq"
#20G,"Sold on 09/29/2016 for $1,875,000",2 beds,2 baths,"1,190 ftsq"
20FFURN,"Off-Market on 02/23/2010 at $10,000",3 beds,3.5 baths,"2,097 ftsq"
#21A,"Sold on 11/15/2012 for $2,100,000",3 beds,3 baths,"1,698 ftsq"
#21B,"Off-Market on 06/07/2010 at $6,400",2 beds,2 baths,"1,404 ftsq"
#21AB,"Off-Market on 11/15/2012 at $3,600,000",5 beds,5+ baths,"3,102 ftsq"
#21C,"Sold on 08/28/2007 for $1,280,000",2 beds,2 baths,"1,150 ftsq"
#2C1,Off-Market,,,"1,100 ftsq"
#21D,"Sold on 03/14/2007 for $860,421",,,
#21E,"Sold on 03/28/2017 for $2,310,000",2 beds,2.5 baths,"1,526 ftsq"
#21F,"Off-Market on 08/08/2018 at $14,000",3 beds,3.5 baths,"2,097 ftsq"
#21G,"Sold on 03/06/2007 for $1,517,192",,,
#22A,"Sold on 06/24/2013 for $1,955,000",3 beds,3 baths,"1,698 ftsq"
#22B,"Sold on 06/25/2012 for $1,345,000",2 beds,2.5 baths,"1,404 ftsq"
#22C,"Off-Market on 06/07/2018 at $5,850",2 beds,2 baths,"1,150 ftsq"
#22D,"Off-Market on 04/24/2015 at $4,000",1 bed,1.5 baths,875 ftsq
#22E,"Sold on 12/18/2017 for $2,300,000",2 beds,2.5 baths,"1,526 ftsq"
#22F,"Off-Market on 11/04/2011 at $2,650,000",3 beds,3.5 baths,"2,097 ftsq"
#22G,"Off-Market on 04/22/2009 at $1,650,000",2 beds,2 baths,"1,190 ftsq"
#22H,"Off-Market on 01/22/2009 at $1,650,000",2 beds,2 baths,"1,190 ftsq"
#23A,"Sold on 11/14/2018 for $2,640,000",3 beds,3 baths,"1,698 ftsq"
#23B,"Off-Market on 08/15/2018 at $7,550",2 beds,2.5 baths,"1,404 ftsq"
#23C,"Sold on 07/22/2011 for $999,999",2 beds,2 baths,"1,150 ftsq"
#23D,"Sold on 06/03/2013 for $775,000",1 bed,1.5 baths,875 ftsq
#23E,"Off-Market on 12/04/2013 at $7,500",2 beds,2 baths,"1,526 ftsq"
#23F,"Off-Market on 06/06/2018 at $12,500",3 beds,3.5 baths,"2,097 ftsq"
#23G,"Sold on 01/09/2017 for $1,940,000",2 beds,2 baths,"1,190 ftsq"
#24A,"Sold on 01/30/2013 for $2,045,000",3 beds,3 baths,"1,698 ftsq"
#24B,"Off-Market on 04/17/2009 at $5,500",2 beds,2.5 baths,"1,404 ftsq"
#24C,"Sold on 10/14/2016 for $1,600,000",2 beds,2 baths,"1,150 ftsq"
#24D,"Sold on 03/08/2017 for $1,095,000",1 bed,1.5 baths,875 ftsq
#24E,"Sold on 09/14/2007 for $1,650,000",,,
