#513A,"Listed for sale at $915,000",1 bed,1 bath,790 ftsq
#514,"Sold on 04/12/2012 for $710,000",1 bed,1 bath,837 ftsq
#515,Sold on 09/06/2018 for $0,studio,1 bath,688 ftsq
#516,"Off-Market on 06/07/2017 at $2,500",studio,1 bath,600 ftsq
#518,"Sold on 08/10/2011 for $650,000",2 beds,1 bath,
#519,"Off-Market on 08/04/2017 at $2,600",studio,1 bath,579 ftsq
#520,"Off-Market on 06/29/2018 at $5,150",2 beds,2 baths,"1,264 ftsq"
#521,"Sold on 04/09/2012 for $942,189",2 beds,2 baths,"1,340 ftsq"
#522,"Sold on 03/17/2009 for $575,000",,,
#523,"Off-Market on 06/17/2014 at $2,900",studio,1 bath,619 ftsq
#524,"Off-Market on 09/28/2018 at $3,000",studio,1 bath,669 ftsq
#525,"Off-Market on 10/15/2018 at $3,000",studio,1 bath,625 ftsq
#601,"Off-Market on 02/28/2018 at $2,824",studio,1 bath,600 ftsq
#602,"Off-Market on 09/28/2018 at $2,495",studio,1 bath,
#603,"Sold on 10/31/2016 for $645,000",studio,1 bath,542 ftsq
#604,"Sold on 06/22/2015 for $661,862",studio,1 bath,550 ftsq
#605,"Off-Market on 11/19/2018 at $859,000",1 bed,1 bath,713 ftsq
#606,"Off-Market on 07/10/2017 at $5,950",3 beds,2 baths,"1,175 ftsq"
#607,"Off-Market on 01/09/2018 at $3,795",2 beds,1 bath,860 ftsq
#608,"Sold on 06/14/2016 for $898,000",1 bed,1 bath,693 ftsq
#609,"Off-Market on 03/25/2017 at $2,450",studio,1 bath,500 ftsq
#610,"Sold on 04/19/2011 for $575,000",,,
#611,"Off-Market on 04/08/2014 at $2,395",studio,1 bath,
#612,"Off-Market on 04/01/2015 at $2,600",studio,1 bath,581 ftsq
#613,"Sold on 09/15/2008 for $488,748",,,
#614,"Sold on 06/17/2010 for $600,000",1 bed,1 bath,791 ftsq
#615,"Off-Market on 05/20/2017 at $3,500",1 bed,1 bath,840 ftsq
#616,"Off-Market on 04/23/2013 at $2,600",studio,1 bath,688 ftsq
#617,"Off-Market on 10/15/2014 at $2,600",studio,1 bath,652 ftsq
#618,"Off-Market on 08/07/2017 at $2,695",studio,1 bath,564 ftsq
#619,"Listed for rent at $3,850",2 beds,1 bath,800 ftsq
#620,"Sold on 10/17/2012 for $525,000",,,
#621,"Off-Market on 03/08/2018 at $4,950",2 beds,2 baths,"1,264 ftsq"
#622,"Off-Market on 07/28/2016 at $4,650",2 beds,2 baths,"1,200 ftsq"
#623,"Off-Market on 05/19/2018 at $2,875",studio,1 bath,604 ftsq
#624,Sold on 07/31/2018 for $0,studio,1 bath,619 ftsq
#625,"Sold on 04/01/2014 for $668,000",studio,1 bath,669 ftsq
#626,"Sold on 10/07/2015 for $646,000",studio,1 bath,660 ftsq
#701,"Off-Market on 06/06/2018 at $2,800",studio,1 bath,622 ftsq
#702,"Sold on 06/11/2018 for $675,000",studio,1 bath,
#703,"Off-Market on 04/26/2018 at $2,650",studio,1 bath,570 ftsq
#704,"Off-Market on 04/30/2018 at $2,850",studio,1 bath,550 ftsq
#705,"Off-Market on 09/18/2018 at $3,450",1 bed,1 bath,714 ftsq
#706,"Sold on 01/17/2014 for $1,247,356",2 beds,2 baths,"1,120 ftsq"
#707,"Sold on 03/30/2011 for $670,000",1 bed,1 bath,860 ftsq
#708,"Off-Market on 05/19/2018 at $3,550",1 bed,1 bath,700 ftsq
#709,"Off-Market on 11/24/2008 at $1,995",studio,1 bath,525 ftsq
#7/10,"Off-Market on 08/03/2017 at $3,000",1 bed,1 bath,
#710,"Off-Market on 07/13/2017 at $3,400",1 bed,1 bath,
#711B,"Off-Market on  at $2,245",studio,1 bath,499 ftsq
#712,"Off-Market on 07/08/2016 at $2,950",studio,1 bath,581 ftsq
#713,"Sold on 01/16/2014 for $641,497",studio,1 bath,663 ftsq
#714,"Off-Market on 05/17/2017 at $3,200",1 bed,1 bath,791 ftsq
#715,"Off-Market on 10/09/2015 at $3,695",1 bed,1 bath,837 ftsq
#716,"Off-Market on 07/25/2018 at $2,950",studio,1 bath,688 ftsq
#717,"Sold on 04/18/2013 for $520,000",studio,1 bath,554 ftsq
#718,"Sold on 05/28/2014 for $600,000",studio,1 bath,564 ftsq
#719,"Sold on 11/26/2008 for $671,892",,,
#720,"Sold on 06/30/2011 for $499,000",studio,1 bath,579 ftsq
#721,"Sold on 01/14/2011 for $935,000",2 beds,2 baths,"1,264 ftsq"
#722,"Sold on 06/07/2011 for $907,000",2 beds,2 baths,"1,116 ftsq"
#723,"Off-Market on 08/05/2017 at $2,700",studio,1 bath,604 ftsq
#724,"Off-Market on 06/18/2014 at $2,900",studio,1 bath,620 ftsq
#725,"Off-Market on 09/12/2013 at $2,750",studio,1 bath,680 ftsq
#726,"Off-Market on 06/26/2017 at $2,850",studio,1 bath,660 ftsq
#801,"Off-Market on 09/10/2015 at $2,795",studio,1 bath,567 ftsq
#801A,"Off-Market on 06/16/2015 at $3,200",1 bed,1 bath,
#802,"Sold on 08/28/2017 for $635,000",studio,1 bath,515 ftsq
#803,"Off-Market on 08/12/2016 at $2,800",studio,1 bath,537 ftsq
#804,"Off-Market on 06/02/2017 at $2,595",studio,1 bath,554 ftsq
#805,"Sold on 11/09/2016 for $916,425",1 bed,1 bath,798 ftsq
#806,"Listed for rent at $5,699",3 beds,2 baths,"1,120 ftsq"
#807,Sold on 09/23/2016 for $0,,,
#808,Sold on 09/23/2016 for $0,,,
#809,"Off-Market on 03/04/2017 at $2,450",studio,1 bath,500 ftsq
#810,"Sold on 11/30/2010 for $590,000",,,
#811,"Off-Market on 03/13/2018 at $2,450",studio,1 bath,
#812,"Sold on 07/29/2013 for $585,493",studio,1 bath,581 ftsq
#813,"Off-Market on 11/11/2014 at $3,000",1 bed,1 bath,700 ftsq
#814,"Off-Market on 03/09/2016 at $3,500",1 bed,1 bath,755 ftsq
#815,"Off-Market on 04/24/2018 at $3,850",1 bed,1 bath,837 ftsq
#816,"Off-Market on 08/08/2016 at $3,095",2 beds,1 bath,700 ftsq
#817,"Sold on 04/15/2014 for $590,585",studio,1 bath,554 ftsq
#818,"Off-Market on 08/08/2013 at $2,450",studio,1 bath,600 ftsq
#819,"Off-Market on 05/30/2018 at $3,400",1 bed,1 bath,798 ftsq
#820,"Off-Market on 10/04/2017 at $2,795",studio,1 bath,579 ftsq
#821,"Sold on 05/19/2011 for $1,025,000",,,"1,112 ftsq"
#822,"Sold on 01/18/2012 for $933,000",2 beds,2 baths,"1,116 ftsq"
#823,"Sold on 02/06/2012 for $502,500",studio,1 bath,604 ftsq
#824,"Sold on 05/04/2012 for $502,500",studio,1 bath,619 ftsq
#825,"Sold on 09/04/2008 for $564,619",studio,1 bath,
#826,"Off-Market on 05/22/2018 at $2,750",studio,1 bath,652 ftsq
#901,"Off-Market on 10/24/2016 at $2,500",studio,1 bath,599 ftsq
#902,"Sold on 05/13/2015 for $535,000",studio,1 bath,555 ftsq
#903,"Off-Market on 03/04/2013 at $2,450",studio,1 bath,540 ftsq
#904,"Off-Market on 01/14/2016 at $2,650",studio,1 bath,552 ftsq
#906,"Off-Market on 05/18/2018 at $5,995",3 beds,2 baths,"1,150 ftsq"
#907,"Off-Market on 07/24/2017 at $4,295",2 beds,1 bath,860 ftsq
#908,"Sold on 05/10/2011 for $600,000",1 bed,1 bath,693 ftsq
#909,"Off-Market on 12/01/2017 at $2,495",studio,1 bath,491 ftsq
#910,"Off-Market on 03/09/2018 at $3,250",1 bed,1 bath,710 ftsq
#911,"Sold on 04/01/2016 for $600,000",studio,1 bath,500 ftsq
#912,"Sold on 02/16/2012 for $505,000",studio,1 bath,581 ftsq
